CL_NM,TRRSRT_NM,ADDR,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,BASE_YM
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,6493,4872900,202201
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,5233,3990300,202202
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,2840,326500,202203
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,3304,0,202204
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,7271,0,202205
공연전시,감귤박물관,제주 서귀포시 효돈순환로 441,0647673010,7904,0,202206
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1694,1107300,202201
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1196,800050,202202
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,978,644950,202203
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1042,677950,202204
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1064,0,202205
공연전시,서귀포시립기당미술관,제주 서귀포시 남성중로153번길 15,0647331586,1354,676800,202206
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1120,1605500,202201
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1084,1537500,202202
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,802,1085500,202203
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,926,1275500,202204
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1500,0,202205
공연전시,서귀포천문과학문화관,제주 서귀포시 1100로 506-1 천문과학문화관,0647399701,1002,1361000,202206
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2144,698450,202201
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1797,572050,202202
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,1720,486400,202203
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2326,645750,202204
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2401,0,202205
공연전시,서복전시관,제주 서귀포시 칠십리로 156-8 서복전시관,0647606361,2017,613950,202206
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,635,0,202201
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,563,0,202202
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,641,0,202203
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,724,0,202204
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,676,0,202205
공연전시,소암기념관,제주 서귀포시 소암로 15,0647603511,193,0,202206
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,10709,0,202201
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,10172,0,202202
공연전시,이중섭미술관,제주 서귀포시 이중섭로 27-3,0647603567,6703,4447550,202203
