RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20221001,한국어,관광지,무장애여행,휠체어,대여,휠체어,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,테마/추천관광,일정별여행,환상숲곶자왈,박물관,폭포,천지연,입장료,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221005
20221001,한국어,관광지,무장애여행,휠체어,대여,휠체어,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,휠체어,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,대여,휠체어,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,휠체어,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,연락처,대여,휠체어,주차,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,사전예약,대여,휠체어,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,"레저, 체험",해양스포츠,현장,요금,현금,카드,인터넷,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221001
20221001,한국어,관광지,"레저, 체험",해양스포츠,정상운영,올레,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,대여,휠체어,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,자연,계곡,산방산,안덕,서귀포,방문,통제,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,무장애여행,휠체어,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,테마/추천관광,포토스팟,체험,문자,마을,안덕,성읍,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,영어,관광지,테마/추천관광,일정별여행,숙소,플리,마켓,벨롱장,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,행사&축제,축제,제주,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,"레저, 체험",승마,체험,숙소,호텔,칼호텔,갤러리,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,행사&축제,축제,동반,매표소,문자,테마파크,파크,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
20221001,한국어,관광지,행사&축제,축제,신화월드,랜딩,주차,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221001
