RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20211204,한국어,숙박,숙박,호텔,제주도청,호텔,시내,제주,문의처,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211204
20211204,한국어,숙박,숙박,호텔,제주도청,호텔,시내,제주,문의처,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211204
20211228,한국어,숙박,숙박,호텔,연락처,숙박,문자,숙소,요금,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211228
20211213,한국어,숙박,숙박,호텔,유선,호텔,서귀포,올레,함덕,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211213
20211228,한국어,숙박,숙박,호텔,요금,호텔,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211228
20211228,한국어,숙박,숙박,호텔,동반,문자,리스트,숙소,호텔,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211228
20211226,한국어,숙박,숙박,호텔,연락처,온천,이용,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211226
20211206,한국어,숙박,숙박,호텔,성산,호텔,드림,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211206
20211224,한국어,숙박,숙박,호텔,해설,호텔,투숙객,갤러리,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211227
20211223,한국어,숙박,숙박,리조트,문자,호텔,켄싱턴,드림,금호,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211223
20211230,한국어,숙박,숙박,게스트하우스,성산,숙소,게스트하우스,비짓,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211230
20211220,한국어,숙박,숙박,펜션/민박,숙박,미스,문의처,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211220
20211217,한국어,숙박,숙박,펜션/민박,가격,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211217
20211230,한국어,숙박,숙박,펜션/민박,동반,성산,숙소,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211230
20211229,한국어,숙박,숙박,펜션/민박,온라인,숙박,문자,리스트,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211229
20211202,한국어,숙박,숙박,펜션/민박,온라인,유선,숙박,문자,리스트,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211202
20211228,한국어,숙박,숙박,펜션/민박,동반,문자,숙소,호텔,안덕,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211228
20211203,한국어,숙박,숙박,펜션/민박,온라인,유선,문자,숙소,미스,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211203
20211231,한국어,숙박,숙박,펜션/민박,숙박,민박,안전,인증,비짓,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211231
20211230,한국어,숙박,숙박,펜션/민박,만장굴,박물관,해녀,비자림,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211230
20211230,한국어,숙박,숙박,펜션/민박,동반,혼인지,성산,문자,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211230
20211226,한국어,숙박,숙박,펜션/민박,연락처,성산,제주도청,민박,환불,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211227
20211214,한국어,숙박,숙박,펜션/민박,연락처,유선,문자,제주도청,리스트,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211214
20211216,한국어,숙박,숙박,모텔/여관,연락처,유선,문자,모텔,서귀포,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211216
20211217,한국어,숙박,숙박,기타,숙소,가격,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211217
20211229,한국어,숙박,숙박,기타,문자,숙소,안전,대정,비짓,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211229
20211203,한국어,숙박,숙박,기타,게스트하우스,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20211203
20211215,한국어,숙박,숙박,기타,천제연,숙박,문자,리스트,민박,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211215
20211229,한국어,숙박,숙박,기타,성산,유선,숙박,문자,숙소,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211229
20211213,한국어,숙박,숙박,기타,연락처,숙박,문자,호텔,해수,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20211213
