RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20221001,한국어,음식,음식,카페,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221001
20221007,한국어,음식,음식,카페,체험,요금,커피,수목원,제주,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221007
20221007,한국어,음식,음식,향토음식,,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221007
20221007,한국어,음식,음식,한식,외국인,식당,판매,검은쇠,방문,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221007
20221007,한국어,음식,음식,한식,식당,판매,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221007
20221007,한국어,음식,음식,한식,숙박,문자,숙소,식당,음식점,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221007
20221008,한국어,음식,음식,향토음식,식당,판매,축협,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221008
20221009,한국어,음식,음식,기타,식당,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221009
20221011,한국어,음식,음식,향토음식,운영시간,휴무일,유선,문자,식당,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221011
20221012,한국어,음식,음식,향토음식,연락처,혼인지,성산,문자,음식점,일반,휴양 및 관광,포털사이트,일반,전화,인바운드,완료,20221012
20221014,한국어,음식,음식,기타,오름,유선,문자,청정,인터넷,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20221014
20221016,한국어,음식,음식,향토음식,주차장,꿩메밀,정의고을,주차,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221016
20221016,한국어,음식,음식,향토음식,금일 운영,꿩메밀,정의고을,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221016
20221016,한국어,음식,음식,향토음식,회관,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221016
20221017,한국어,음식,음식,향토음식,함덕,재료소진,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221017
20221017,한국어,음식,음식,향토음식,식당,갈치,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221017
20221017,한국어,음식,음식,향토음식,식당,갈치,판매,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221017
20221017,한국어,음식,음식,향토음식,제주,갈치,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20221017
