AREA_NM,EXTRC_KWRD_CN,KWRD_FQ_CO
부산광역시,위치,2416
부산광역시,친절,1779
부산광역시,깨끗,1746
부산광역시,직원,1459
부산광역시,깔끔,1269
부산광역시,객실,1253
부산광역시,가격,1174
부산광역시,여행,1135
부산광역시,시설,1100
부산광역시,해운대,1016
부산광역시,조식,908
부산광역시,주차,849
부산광역시,화장실,673
부산광역시,침대,660
부산광역시,청결,630
부산광역시,바다,609
부산광역시,청소,523
부산광역시,컨디션,491
부산광역시,숙박,490
부산광역시,가족,453
부산광역시,서비스,443
부산광역시,냄새,422
부산광역시,침구,420
부산광역시,부산역,419
부산광역시,수영장,405
부산광역시,가능,391
부산광역시,건물,387
부산광역시,주차장,387
부산광역시,사용,369
부산광역시,편안,362
서울특별시,위치,1320
서울특별시,친절,984
서울특별시,깨끗,873
서울특별시,깔끔,849
서울특별시,직원,816
서울특별시,객실,627
서울특별시,시설,573
서울특별시,가격,540
서울특별시,조식,506
서울특별시,침대,394
서울특별시,청결,352
서울특별시,주차,319
서울특별시,화장실,285
서울특별시,숙박,249
서울특별시,컨디션,241
서울특별시,침구,240
서울특별시,서비스,237
서울특별시,청소,236
서울특별시,조용,230
서울특별시,여행,219
서울특별시,냄새,213
서울특별시,편안,194
서울특별시,방음,189
서울특별시,접근성,179
서울특별시,욕조,160
서울특별시,사용,159
서울특별시,가능,157
서울특별시,소리,151
서울특별시,쾌적,150
서울특별시,프론트,148
제주특별자치도,친절,1209
제주특별자치도,위치,1039
제주특별자치도,직원,1003
제주특별자치도,깨끗,965
제주특별자치도,가격,843
제주특별자치도,조식,838
제주특별자치도,여행,764
제주특별자치도,깔끔,737
제주특별자치도,수영장,710
제주특별자치도,시설,662
제주특별자치도,객실,655
제주특별자치도,주차,469
제주특별자치도,공항,459
제주특별자치도,침대,455
제주특별자치도,가족,385
제주특별자치도,청결,373
제주특별자치도,주차장,356
제주특별자치도,제주도,347
제주특별자치도,화장실,332
제주특별자치도,시장,300
제주특별자치도,컨디션,299
제주특별자치도,침구,284
제주특별자치도,한라산,275
제주특별자치도,냄새,272
제주특별자치도,편의점,270
제주특별자치도,서비스,270
제주특별자치도,숙박,269
제주특별자치도,조용,265
제주특별자치도,청소,250
제주특별자치도,저렴,240
전라도,깨끗,482
전라도,위치,471
전라도,여행,446
전라도,여수,389
전라도,조식,359
전라도,친절,344
전라도,객실,322
전라도,직원,295
전라도,깔끔,292
전라도,시설,284
전라도,가격,240
전라도,가족,222
전라도,수영장,181
전라도,침대,163
전라도,청결,157
전라도,주차,148
전라도,바다,147
전라도,컨디션,126
전라도,주차장,119
전라도,화장실,118
전라도,가능,113
전라도,편의점,110
전라도,한옥마을,108
전라도,침구,105
전라도,숙박,101
전라도,조용,101
전라도,거리,88
전라도,군산,84
전라도,처음,82
전라도,청소,76
경상도,깨끗,485
경상도,조식,471
경상도,친절,387
경상도,객실,360
경상도,직원,326
경상도,깔끔,306
경상도,시설,286
경상도,여행,284
경상도,위치,276
경상도,가격,263
경상도,수영장,241
경상도,침대,201
경상도,주차,185
경상도,가족,182
경상도,침구,176
경상도,청결,174
경상도,컨디션,129
경상도,편안,125
경상도,화장실,124
경상도,청소,117
경상도,숙박,116
경상도,서비스,108
경상도,주차장,108
경상도,조용,104
경상도,아침,98
경상도,편의점,93
경상도,산책,87
경상도,방음,87
경상도,아이들,85
경상도,모델링,82
울산광역시,조식,52
울산광역시,깔끔,52
울산광역시,친절,49
울산광역시,직원,47
울산광역시,주차,44
울산광역시,객실,34
울산광역시,깨끗,33
울산광역시,위치,33
울산광역시,에어컨,32
울산광역시,주차장,31
울산광역시,시설,29
울산광역시,침대,29
울산광역시,가격,23
울산광역시,온도,23
울산광역시,여행,21
울산광역시,숙박,20
